name,ascencion_document_number,ascencion_document_date,ascencion_year,photo_url,birth_date,birth_place,death_date,death_place,burial_place,description
KH. Akhmad Dahlan ,No Sk 657  Tahun  1961,27  Desember  1961,1961,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/11.jpg,1 Agustus 1868,"Yogyakarta, Indonesia",23 Februari 1923,"Yogyakarta, Indonesia","Brontokusuman,, Mergangsang Yogyakarta","Pendiri Muhammadiyah dan Pejuang bidang Pendidikan.Suami dari Siti Walidah yang juga Pahlawan Nasional. Ia memperoleh pendidikan agama di pesantren dan kemudian memperdalam ilmu lainnya di Mekah dan juga gemar membaca buku.Nama Ahmad Dahlan menjadi bahan pembicaraan masyarakat ialah ketika tahun 1896 Dahlan membetulkan arah kiblat di langgar dan masjid-mesjid di Yogyakarta. Peristiwa lain yang membuatnya semakin dikenal ialah dengan penentuan Hari Raya Id.  Tetapi nama beliau lebih dikenal sebagai pendiri dan pemimpin Muhammadiyah, organisasi sosial yang menitikberatkan usahanya di bidang pendidikan serta kemajuan hidup beragama di kalangan umat Islam.Sebelum mendirikan Muhammadiyah, Ahmad Dahlan sudah memasuki organisasi lain, baik yang berdasarkan nasionalisme ataupun agama, seperti Budi Utomo dan Sarekat Islam.K.H. Ahmad Dahlan memilih lapangan sosial dan pendidikan sebagai medan baktinya. Selain Muhammadiyah, Dahlan mendirikan Aisiyah untuk anak perempuan dan organisasi pramuka Hizbul Wathan."
KH. Agus Salim ,No Sk 657  Tahun  1961,27  Desember  1961,1961,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/12.jpg,8 Oktober 1884,"Koto Gadang, Agam, Sumatera Barat",4 November 1954,"Jakarta,Indonesia",TMPN Utama  Kalibata,"​Pejuang Kemerdekaan Indonesia, Politisi, Jurnalis, Penulis Buku. Menteri Luar Negeri. Anggota BPUPKI dan Ketua Dewan Kehormatan PWI.Agus Salim lulus dari HBS dan kemudian memilih untuk belajar sendiri dan menguasai berbagai macam bahasa derah dan negara lain. Ia kemudian merantau ke Jedah dan mempelajari Islam lebih dalam dan membuatnya berkenalan dengan tokoh-tokoh modernis Islam seperti Jamaludin Al-Afghani. Pada tahun 1911, ia kembali ke tanah air dan mendirikan HIS.Karir politiknya dimulai dalam Sarekat Islam (SI), kemudian bersama Samaun pada tahun 1919 ia mendirikan Persatuan Pergerakan Kaum Buruh. Agus Salim juga melontarkan gagasan mengenai Pan Islamisme. Ia juga merupakan anggota Volksraad sampai tahun 1924 ia keluar dan menganut aliran non-kooperatif.Tahun 1925 bersama Cokroaminoto menerbitkan harian Fajar Asia di Yogyakarta, dan memimpin harian Hindis Baru di Jakarta.Pada 1929 ia diangkat menjadi ketua Partai Sarekat Islam Indonesia (PSII).Ia diangkat menjadi anggota BPUPKI dan menjadi anggota Panitia Sembilan. Sejak Proklamasi ia aktif dalam bidang diplomasi sebagai Menteri Luar Negeri."
Jend. Gatot Subroto ,No Sk 222  Tahun  1962,18  Juni  1962,1962,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/13.jpg,10 Oktober 1907,"Banyumas, Jawa Tengah",11 Juni 1962,"Jakarta, Indonesia","Ungaran Timur, Semarang","Tokoh perjuangan militer Indonesia dalam merebut kemerdekaan. Panglima Tentara  &  Teritorium (T&T) IV Diponegoro. Wakil Staff Kepala Angkatan Darat.Ikut serta dalam pasukan Jepang pada Perang Pasifik. Dengan melihat potensinya, pemerintah Jepang mengangkatnya menjadi kepala Detasemen Polisi. Ketika pemerintah pendudukan Jepang membentuk PETA (Tentara Pembela Tanah Air), Gatot pun mendaftarkan diri.Di Banyumas, ia berhasil mengambil alih kekuasaan kepolisian dan sesudah itu ia diangkat menjadi Kepala Kepolisian Karesidenan Banyumas. Bersama- sama dengan BKR (Badan  Keamanan  Rakyat), ia aktif berunding dengan komandan militer Jepang dalam usaha memperoleh senjata.Melahirkan gagasan untuk mendirikan sebuah akademi militer gabungan yang telah terwujud dalam bentuk Akademi Angkatan Bersenjata Republik Indonesia (AKABRI).Selama berkarir di bidang militer, Gatot Subroto memiliki 17 bintang jasa dan setelah wafat pangkatnya dinaikkan menjadi jenderal anumerta."
Sukarjo Wiryopranoto ,No Sk 222  Tahun  1962,18  Juni  1962,1962,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/14.jpg,5 Juni 1903,"Kesugihan, Cilacap, JawaTengah",23 Oktober 1962,"New York, Amerika Serikat",TMPN Utama  Kalibata,"Perintis Kemerdekaan Indonesia. Pendiri Persatuan Bangsa Indonesia (PBI) bersama dr. Soetomo. Anggota Volksraad. Sekretaris Gabungan Politik Indonesia (Gapi). Memimpin surat kabar Asia Raya. Pembina majalah Mimbar Indonesia. Duta Besar di Italia, Vatikan, RRC. Wakil Tetap Indonesia di PBBPada 1937, Sukardjo Wirjopranoto diangkat menjadi anggota Dewan Rakyat, wakil dari Budi Utomo.Sukardjo Wirjopranoto aktif pula di Gabungan Politik Indonesia (GAPI). Pada 1939, GAPI melancarkan perjuangan dengan semboyan ""Indonesia Berparlemen"". GAPI juga berhasil menyelenggarakan Kongres Rakyat Indonesia di JakartaPada 1943 ia juga ditunjuk sebagai anggota Badan Penyelidik Usaha-Usaha Persiapan Kemerdekaan Indonesia. Setelah Indonesia merdeka, ia diangkat sebagai juru bicara Kabinet Syahrir. Selain itu, ia juga mendirikan majalah Mimbar Indonesia di Jakarta"
Dr. Ferdinand Lumban Tobing ,No Sk 361  Tahun  1962,17  November  1962,1962,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/15.jpg,19 Februari 1899,"Sibuluan, Sibolga,Sumatera Utara",7 Oktober 1962,"Jakarta,Indonesia","Kolang, Tapanuli Tengah","Dokter dan Politisi, Berjuang untuk Hak-Hak Pekerja Paksa. Gubernur   Sumatera   Utara. Menteri  Tenaga  Kerja  dan Transmigrasi. Menteri Penerangan. Menteri Kesehatan.Merupakan salah satu anggota Jong Batak selama bersekolah di STOVIA.Menyembuhkan Sultan Kutai yang telah lama jatuh sakit. Sebagai tanda terima kasih, maka dr. Ferdinand Lumban Tobing diangkat sebagai ayah oleh Sultan Kutai.Pada bulan November 1943 diangkat menjadi Ketua Dewan Perwakilan Daerah (Syu  Sangikai) untuk Karesidenan Tapanuli.dr. Ferdinand Lumban Tobing secara resmi diangkat menjadi Residen Tapanuli pada tanggal 3 Oktober 1945. Ia segera mengatur barisan pemuda bersenjata dan berdirilah BKR  yang  kemudian  menjadi TKR dan akhirnya TNI.Pada tanggal 30 Juli 1983 dr. Ferdinand Lumban Tobing diangkat menjadi Menteri Penerangan dalam Kabinet Ali Sastroamijoyo I. Dalam kedudukan itu ia pernah pula menjabat sebagai Menteri Kesehatan ad interim."
KH. Zainul Arifin ,No Sk 35  Tahun  1963,04 Maret 1963,1963,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/16.jpg,2 September 1909,"Barus, TapanuliTengah, Sumatera Utara",2 Maret 1963,"Jakarta,Indonesia",TMPN Utama  Kalibata,K.H. Zainul Arifin adalah tokoh politik NU yang pernah menjadi ketua DPR-GR di era demokrasi terpimpin.K.H. Zainul Arifin  sudah terlibat politik  masa pergerakan nasional.Pada zaman Jepang  menjadi Kepala Bagian Umum dari Majelis Syuro Muslimin Indonesia (Masyumi)K.H. Zainul Arifin melalui Hizbullah menentang pelibatan Masyumi dalam romusha.K.H. Zainul Arifin  dengan pasukan Hizbullah  terlibat dalam pertempuran-pertempuran dengan Belanda mempertahankan kemerdekaan Indonesia.K.H. Zainul Arifin aktif sebagai  anggota KNIP dan kemudian dipilih menjadi anggota Badan Pekerja KNIP.K.H. Zainul Arifin  pada masa RIS duduk sebagai anggota DPRS.K.H. Zainul Arifin  pada  tahun 1963 ia menjadi Ketua DPR GR.
Tan  Malaka ,No Sk 53  Tahun  1963,28  Maret  1963,1963,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/17.jpg,2 Juni 1897,"Nagari Pandam Gadang,Suliki, Sumatera Barat",21 Februari 1949,"KakiGunung Wilis, Desa Selopanggung, Ke",Tidak Diketahui,"Tan Malaka adalah pahlawan nasional yang berjuang menuntut kemerdekaan Indonesia, yang menolak perjuangan diplomasi.Tan Malaka menjadi Ketua Partai Komunis Indonesia setelah kepergian Semaun Ke Rusia pada 1924, ia mengembangkan cabang PKI ke daerah dan mengecam pemerintahan Kolonial yang menindas para buruh.Pada tahun 1925 ketika berada di Cina, Tan Malaka menulis buku kecil berjudul Naar de “Republick Indonesia” yang dicetak di Kanton. Bukunya Tan Malaka tersebut mengajak kaum cendikiawan Indonesia untuk berjuang meraih Kemerdekaan Indonesia dan Peka terhadap hati nurani Rakyat.Tan Malaka juga melontarkan pemikirannya mengenai program politik, ekonomi dan sosial, bahkan kemiliteran yang diperlukan dalam perjuangan kemerdekaan bangsa.Tan Malaka  menentang kebijakan diplomasi yang terus-menerus diutamakan pemerintah RI. Ia tidak memercayai Belanda yang selalu mengingkari setiap perundingan yang telah disepakati.Tan Malaka bergabung dengan Gerakan Revolusi Rakyat (GRR). Partai Rakyat beserta sejumlah partai oposisi lainnya, termasuk Partai Rakyat Jelata, Partai Buruh Merdeka, Angkatan Komunis Muda, Barisan Banteng, Laskar Rakyat Jawa Barat, dan lainnya sepakat melebur menjadi Partai Musyawarah Rakyat Banyak (Murba)."
MGR.A. Sugyopranoto  SJ ,No Sk 152  Tahun  1963,26  Juli  1963,1963,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/18.jpg,25 November 1896,"Surakarta,Jawa Tengah",22 Juli 1963,"Steyl, Belanda","TMP  Giri Tunggal, Semarang","Uskup Agung Katolik Semarang.  Seorang Patriot dan Nasionalis sejati. Beliau dipuji karena kekuatannya selama pendudukan Jepang dan revolusi nasional.Pidato Soegijapranata saat Kongres Katolik Seluruh Indonesia di Semarang tahun 1954, mengatakan, jika kita merasa sebagai orang Kristen yang baik, kita semestinya juga menjadi seorang patriot yang baik."
Ir. H. Djuanda Kartawijaya ,No Sk 244  Tahun  1963,29  November  1963,1963,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/19.jpg,14 Januari 1911,"Tasikmalaya, JawaBarat",7 November 1963,"Jakarta,Indonesia",TMPN Utama  Kalibata,"Menteri Keuangan pada Kabinet Kerja I dan II, Menteri Pekerjaan Umum pada Kabinet Hatta I, Menteri Perdagangan pada Kabinet RIS, dan Menteri Perhubungan pada Kabinet Syahrir III dan pernah menjabat Perdana Menteri pada 1957-1959.Beliau memiliki peran besar menjaga kedaulatan maritim Indonesia di awal masa kemerdekaan, diabadikan dalam uang pecahan Rp50 ribu sejak 16 Desember 2016.Ia mengeluarkan Deklarasi Djuanda pada 13 Desember 1957. Dalam deklarasi itu ia menyatakan kepada masyarakat internasional bahwa segala perairan yang menghubungkan pulau-pulau Indonesia masuk dalam teritori Negara Republik Indonesia. Deklarasi itu juga menyatakan bahwa penentuan batas laut 12 mil yang diukur dari garis-garis yang menghubungkan titik terluar pada pulau-pulau Negara Republik Indonesia akan ditentukan dengan undang-undang,"
"DR. Sahardjo, SH ",No Sk 245  Tahun  1963,29  November  1963,1963,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/20.jpg,26 Juni 1909,"Solo, Jawa Tengah",13 November 1963,"Jakarta,Indonesia",TMPN Utama  Kalibata,"Tokoh penting dalam reformasi hukum di Indonesia. Menteri Hukum dan Hak Asasi Manusia ke-11. Hasil buah pemikirannya yang penting adalah Undang-undang Warga Negara Indonesia tahun  1947 dan Undang-undang Pemilihan Umum tahun 1953.Sahardjo menciptakan istilah ‘Narapidana’ sebagai penganti ‘orang terhukum’. Istilah penjara diganti menjadi ‘pemasyarakatan’. Dan  mencetuskan lambang Departemen Kehakiman yaitu pohon beringin sebagai lambang pengayoman (Perlindungan)Sahardjo juga yang mengusulkan lambang Kehakiman dan Kejaksaan menggunakan gambar pohon beringin, bukan Dewi Keadilan yang akrab dengan timbangan, pedang, dan mata tertutupnya, pohon Beringin dinilai lebih sesuai dengan kepribadian Bangsa IndonesiaHasil pemikiran Sahardjo membawa penjelasan mengenai hakikat Negara Republik Indonesia. Penjelasan itu menolak pendapat bahwa Negara RI hadiah Koferensi Meja Bundar (KMB) antara Belanda dengan Indonesia."
Cut  Nyak  Dhien ,No Sk 106  Tahun  1964,02 Mei 1964,1964,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/21.jpg,1848,"Lampadang, Kerajaan Aceh (Aceh Besar, WilayahVI Mukim)",6 November 1908,"Sumedang,Jawa Barat","Sukajaya, Sumedang","Pemimpin Gerilya Aceh yang berperang melawan Pasukan Kolonial Belanda pada masa perang Aceh (1873- 1904). Istri Teuku Umar (juga Pahlawan Nasional).Cut Nyak Dien merupakan tokoh yang memegang peranan penting bagi Masyarakat Aceh baik di bidang politik maupun bidang lainnya.Ia menjadi garda terdepan dalam perang melawan Belanda. Beliau tangkas, tangguh dan gigih dalam memperjuangkan tanah air, bangsa dan agama dari tangan Belanda.Perang Aceh-Belanda yang meletus tahun 1873, bagi Aceh, perang itu adalah perang mempertahankan kedaulatan dan kemerdekaan. Sedangkan bagi Belanda perang itu untuk memperluas   wilayah   jajahannyaBersama-sama dengan Teuku Umar, Cut Nyak Dien menyusun strategi perjuangan. Ia membangkitkan semangat penduduk VI Mukim agar mereka berjuang mempertahankan daerah mereka dari serangan Belanda.Ia meninggal dunia di Sumedang pada tanggal 6 November 1908 sebagai tawanan Pemerintah Hindia-Belanda setelah bertahun-tahun lamanya berjuang menentang penjajahan Belanda khususya di daerah Aceh."
